product_seq,product_idx,inactive,description,company_prefix,item_reference,indicator_digit,external_upc,external_plu,gtin,company_name
9622,499933,N,LEMON CARTON FANCY 075 NO PLU SCTN F CT MFC ,611628,98580,0,,,611628985800,"KINGS RIVER PACKING, LP"
9623,499934,N,LEMON CARTON CHOICE 075 NO PLU SCTN F CT MFC ,611628,98580,0,,,611628985800,"KINGS RIVER PACKING, LP"
11080,499929,N,LEMON CARTON FANCY 075 PLU 4053 (115+) SCTN F CT MFC ,611628,98580,0,,,611628985800,"KINGS RIVER PACKING, LP"
11079,499928,N,LEMON CARTON CHOICE 075 PLU 4053 (115+) SCTN F CT MFC ,611628,98580,0,,,611628985800,"KINGS RIVER PACKING, LP"
11081,499937,N,LEMON CARTON CHOICE 095 PLU 4053 (115+) SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
11082,499938,N,LEMON CARTON FANCY 095 PLU 4053 (115+) SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
9624,499935,N,LEMON CARTON CHOICE 095 NO PLU SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
9752,470485,N,LEMON CARTON CHOICE 095 MFC SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
9625,499936,N,LEMON CARTON FANCY 095 NO PLU SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
9751,470484,N,LEMON CARTON FANCY 095 MFC SCTN F CT MFC ,611628,98585,0,,,611628985855,"KINGS RIVER PACKING, LP"
11083,499941,N,LEMON CARTON FANCY 115 PLU 4053 (115+) SCTN F CT MFC ,611628,98590,0,,,611628985909,"KINGS RIVER PACKING, LP"
11084,499942,N,LEMON CARTON CHOICE 115 PLU 4053 (115+) SCTN F CT MFC ,611628,98590,0,,,611628985909,"KINGS RIVER PACKING, LP"
9626,499939,N,LEMON CARTON FANCY 115 NO PLU SCTN F CT MFC ,611628,98590,0,,,611628985909,"KINGS RIVER PACKING, LP"
9627,499940,N,LEMON CARTON CHOICE 115 NO PLU SCTN F CT MFC ,611628,98590,0,,,611628985909,"KINGS RIVER PACKING, LP"
9628,499943,N,LEMON CARTON FANCY 140 NO PLU SCTN F CT MFC ,611628,98595,0,,,611628985954,"KINGS RIVER PACKING, LP"
11085,499945,N,LEMON CARTON FANCY 140 PLU 4958(140/165 SCTN F CT MFC ,611628,98595,0,,,611628985954,"KINGS RIVER PACKING, LP"
9629,499944,N,LEMON CARTON CHOICE 140 NO PLU SCTN F CT MFC ,611628,98595,0,,,611628985954,"KINGS RIVER PACKING, LP"
11086,499946,N,LEMON CARTON CHOICE 140 PLU 4958(140/165 SCTN F CT MFC ,611628,98595,0,,,611628985954,"KINGS RIVER PACKING, LP"
9631,499948,N,LEMON CARTON CHOICE 165 NO PLU SCTN F CT MFC ,611628,98600,0,,,611628986005,"KINGS RIVER PACKING, LP"
11087,499950,N,LEMON CARTON FANCY 165 PLU 4958(140/165 SCTN F CT MFC ,611628,98600,0,,,611628986005,"KINGS RIVER PACKING, LP"
9630,499949,N,LEMON CARTON FANCY 165 NO PLU SCTN F CT MFC ,611628,98600,0,,,611628986005,"KINGS RIVER PACKING, LP"
11089,499951,N,LEMON CARTON CHOICE 165 PLU 4958(140/165 SCTN F CT MFC ,611628,98600,0,,,611628986005,"KINGS RIVER PACKING, LP"
9632,499952,N,LEMON CARTON FANCY 200 NO PLU SCTN F CT MFC ,611628,98605,0,,,611628986050,"KINGS RIVER PACKING, LP"
9633,499953,N,LEMON CARTON CHOICE 200 NO PLU SCTN F CT MFC ,611628,98605,0,,,611628986050,"KINGS RIVER PACKING, LP"
11092,499955,N,LEMON CARTON CHOICE 200 PLU 4033 (200-) SCTN F CT MFC ,611628,98605,0,,,611628986050,"KINGS RIVER PACKING, LP"
11090,499954,N,LEMON CARTON FANCY 200 PLU 4033 (200-) SCTN F CT MFC ,611628,98605,0,,,611628986050,"KINGS RIVER PACKING, LP"
11093,499958,N,LEMON CARTON FANCY 235 PLU 4033 (200-) SCTN F CT MFC ,611628,98610,0,,,611628986104,"KINGS RIVER PACKING, LP"
11094,499959,N,LEMON CARTON CHOICE 235 PLU 4033 (200-) SCTN F CT MFC ,611628,98610,0,,,611628986104,"KINGS RIVER PACKING, LP"
9634,499956,N,LEMON CARTON FANCY 235 NO PLU SCTN F CT MFC ,611628,98610,0,,,611628986104,"KINGS RIVER PACKING, LP"
9635,499957,N,LEMON CARTON CHOICE 235 NO PLU SCTN F CT MFC ,611628,98610,0,,,611628986104,"KINGS RIVER PACKING, LP"
9652,499960,N,NAVEL ORANGE CTN CHOICE 056 NO PLU SCTN C CT ESS ,611628,98655,0,,,611628986555,"KINGS RIVER PACKING, LP"
11095,499961,N,NAVEL ORANGE CTN CHOICE 056 PLU 4012 (56+) SCTN C CT ESS ,611628,98655,0,,,611628986555,"KINGS RIVER PACKING, LP"
9832,470513,N,NAVEL ORANGE CTN CHOICE 064 ESS SCTN C CT ESS ,611628,98660,0,,,611628986609,"KINGS RIVER PACKING, LP"
9653,470371,N,NAVEL ORANGE CTN CHOICE 064 SCTN C CT ESS ,611628,98660,0,,,611628986609,"KINGS RIVER PACKING, LP"
11097,499965,N,NAVEL ORANGE CTN CHOICE 072 PLU 3107 (88/72) SCTN C CT ESS ,611628,98665,0,,,611628986654,"KINGS RIVER PACKING, LP"
9654,499964,N,NAVEL ORANGE CTN CHOICE 072 NO PLU SCTN C CT ESS ,611628,98665,0,,,611628986654,"KINGS RIVER PACKING, LP"
9655,499966,N,NAVEL ORANGE CTN CHOICE 088 NO PLU SCTN C CT ESS ,611628,98670,0,,,611628986708,"KINGS RIVER PACKING, LP"
11099,499967,N,NAVEL ORANGE CTN CHOICE 088 PLU 3107 (88/72) SCTN C CT ESS ,611628,98670,0,,,611628986708,"KINGS RIVER PACKING, LP"
9656,499969,N,NAVEL ORANGE CTN CHOICE 113 NO PLU SCTN C CT ESS ,611628,98675,0,,,611628986753,"KINGS RIVER PACKING, LP"
11101,499970,N,NAVEL ORANGE CTN CHOICE 113 PLU 4013 (113-) SCTN C CT ESS ,611628,98675,0,,,611628986753,"KINGS RIVER PACKING, LP"
9657,499971,N,NAVEL ORANGE CTN CHOICE 138 NO PLU SCTN C CT ESS ,611628,98680,0,,,611628986807,"KINGS RIVER PACKING, LP"
11102,499972,N,NAVEL ORANGE CTN CHOICE 138 PLU 4013 (113-) SCTN C CT ESS ,611628,98680,0,,,611628986807,"KINGS RIVER PACKING, LP"
9658,499973,N,NAVEL ORANGE CTN CHOICE 163 NO PLU SCTN C CT ESS ,611628,98685,0,,,611628986852,"KINGS RIVER PACKING, LP"
